清理後評論內容,分詞結果
來探路從捷運站來很方便因為很早來許多商家都還沒開始到了營業時間應該會有很多人潮廁所沒衛生紙女廁單間內也沒有垃圾桶無法理解是所有的生理用品衛生紙不可溶於水的面紙一律丟到馬桶內嗎試想公共場所進出的人也多這應該很容易改善的問題,來 探 路 從 捷運站 來 很 方便 因為 很 早 來 許多 商家 都 還 沒 開始 到 了 營業 時間 應該 會 有 很多 人潮 廁所 沒 衛生紙 女廁 單 間 內 也 沒有 垃圾桶 無法 理解 是 所有 的 生理 用品 衛生紙 不可 溶 於 水 的 面紙 一律 丟到 馬桶 內 嗎 試想 公共 場所 進出 的 人 也 多 這 應該 很 容易 改善 的 問題
"35年過去了終於有大巨蛋能好好讓球迷們觀賞棒球比賽
場館內部多數硬體設施尚稱完善但對於動線標示需要再多點規劃由於目前尚未由球隊經營這點仍需由經營單位好好處理

球場位置交通便利搭乘捷運是最方便的不過週圍腹地較小同時大量人潮輸散時造成擁擠的現象場內人多的時候若搭手扶梯要注意前方若停住小心遭後方人員推擠

L4廁所乾淨L5座位在6排以上視野很棒希望未來調整後帶給球迷更好的看球環境

83 更新右外野L244看球經驗外野L2也許因不常開放的關係當日外野座位及地板佈滿落塵場地清潔應再加強看台區牆壁邊緣施工收尾沒有很仔細屋頂漏水等問題也就不足為奇
外野廁所數量比L4L5來得少在83兄弟出賽當天上男廁都得排隊","35 年 過去 了 終於 有 大 巨蛋 能 好好 讓 球迷 們 觀賞 棒球 比賽 
 場館 內部 多數 硬體 設施 尚 稱 完善 但 對於 動線 標示 需要 再 多點 規劃 由於 目前 尚未 由 球隊 經營 這 點 仍 需 由 經營 單位 好好 處理 

 球場 位置 交通 便利 搭乘 捷運 是 最 方便 的 不過 週圍 腹地 較 小 同時 大量 人潮 輸散 時 造成 擁擠 的 現象 場 內 人 多 的 時候 若 搭 手扶梯 要 注意 前方 若 停住 小心 遭 後方 人員 推擠 

L4 廁所 乾淨 L5 座位 在 6 排 以上 視野 很 棒 希望 未來 調整 後 帶給 球迷 更 好 的 看 球 環境 

83  更新 右外野 L244 看 球 經驗 外野 L2 也許 因 不 常 開放 的 關係 當日 外野 座位 及 地板 佈滿 落塵 場地 清潔 應 再 加強 看台區 牆壁 邊緣 施工 收尾 沒有 很 仔細 屋頂 漏水 等 問題 也 就 不足為奇 
 外野 廁所 數量 比 L4L5 來得 少 在 83 兄弟 出賽 當天 上 男廁 都 得 排隊"
"設施不錯夏天在室內吹冷氣看球賽真的很棒廁所很多也有定期清潔還不錯
缺點是場內餐點部分偏貴150元只有6顆章魚小丸子只有滿滿一球粉漿包一塊章魚沒有加蔬菜真的很雷","設施 不錯 夏天 在 室 內 吹 冷氣 看 球賽 真的 很 棒 廁所 很多 也 有 定期 清潔 還 不錯 
 缺點 是 場 內 餐點 部分 偏 貴 150 元 只有 6 顆 章魚 小 丸子 只有 滿滿 一 球 粉漿 包 一 塊 章魚 沒有 加 蔬菜 真的 很 雷"
從B 1進去有好幾個入口座位算是很舒服冷氣空調也很舒適在七月底可以不流汗看球賽真的蠻享受的外面的餐廳很多但是在總決賽時幾乎每家都客滿最好可以吃完飯再過來記得帶喜歡的零食跟飲料場內的食物跟飲料區都大排長龍或是賣完今天球賽看到張育成揮出一隻全壘打全場情緒高昂充滿正能量全場歡聲雷動啦啦隊從頭跳到尾觀眾也是娛樂效果滿點,從 B 1 進去 有 好幾 個 入口 座位 算是 很 舒服 冷氣 空調 也 很 舒適 在 七月 底 可以 不 流汗 看 球賽 真的 蠻 享受 的 外面 的 餐廳 很多 但是 在 總決賽 時 幾乎 每 家 都 客滿 最好 可以 吃完 飯 再 過來 記得 帶 喜歡 的 零食 跟 飲料場 內 的 食物 跟 飲料區 都 大排長龍 或是 賣完 今天 球賽 看到 張育成 揮出 一 隻 全壘打 全 場 情緒 高昂 充滿 正能量 全 場 歡聲 雷動 啦啦隊 從 頭 跳到 尾 觀眾 也 是 娛樂 效果 滿點
"特地來看周董引退賽來了兩天坐了不同樓層搭捷運來很方便很多出入口可以進出場

第一天坐L2內野結果上樓只有一座手扶梯能搭滿場真的排手扶梯就排了幾十分鐘最後手扶梯還壞掉只能走樓梯
但L2視野很好與B1相比座位的空間比較寬比較舒適只是屋頂會漏水剛好坐在漏水附近偶爾會被雨水滴到真的很無言

第二天坐B1從捷運出口的入口進場人群擠在同一處完全動不了走到117區走了快半小時如果有狀況的話真的很可怕

室內吹冷氣不怕下雨真的很舒服但問題這麼多短期間不會想再去了真的希望大巨蛋能改善的更好","特地 來 看 周董 引退賽 來 了 兩 天 坐 了 不同 樓層 搭 捷運 來 很 方便 很多 出入口 可以 進出場 
 
 第一 天 坐 L2 內野 結果 上樓 只有 一 座 手扶梯 能 搭 滿 場 真的 排 手扶梯 就 排 了 幾十 分鐘 最後 手扶梯 還 壞掉 只 能 走 樓梯 
 但 L2 視野 很 好 與 B1 相比 座位 的 空間 比較 寬 比較 舒適 只是 屋頂 會 漏水 剛好 坐 在 漏水 附近 偶爾 會 被 雨水 滴到 真的 很 無言 
 
 第二 天 坐 B1 從 捷運 出口 的 入口 進場 人群 擠 在 同 一 處 完全 動不了 走到 117 區 走 了 快 半 小時 如果 有 狀況 的話 真的 很 可怕 
 
 室 內 吹 冷氣 不 怕 下雨 真的 很 舒服 但 問題 這麼多 短期 間 不會 想 再 去 了 真的 希望 大 巨蛋 能 改善 的 更 好"
捷運國父紀念館5號出口就可以到大巨蛋嚕看球終於不用日曬雨淋了可以享受著舒服的觀賞球賽但是因為位置交錯問題所以熱區跟附近位置的高低差不會很多所以就保佑前面位置的人不要太高要不然還是會有阻擋些許視線加上冷氣超級強所以建議要帶薄外套或戴帽子因為我去10次以上8次重感冒球場內能選擇的食物還是不多但是大巨蛋一樓周邊陸續開了很不錯的用餐地點加上B2整層好像已經規劃美食街部分所以可以期待,捷運 國父 紀念館 5號 出口 就 可以 到 大巨蛋 嚕 看 球 終於 不用 日曬 雨 淋 了 可以 享受 著 舒服 的 觀賞 球賽 但是 因為 位置 交錯 問題 所以 熱區 跟 附近 位置 的 高低 差 不會 很多 所以 就 保佑 前面 位置 的 人 不要 太 高 要不然 還是 會 有 阻擋 些許 視線 加上 冷氣 超級 強 所以 建議 要 帶 薄 外套 或 戴 帽子 因為 我 去 10 次 以上 8 次 重感冒 球場 內 能 選擇 的 食物 還是 不 多 但是 大巨蛋 一樓 周邊 陸續 開 了 很 不錯 的 用餐 地點 加上 B2 整 層 好像 已經 規劃 美食街 部分 所以 可以 期待
臺北文化體育園區坐落於臺北市都心區與松山菸廠歷史古蹟區共同形塑了文化體育園區的樣貌園區占地共18公頃其中巨蛋所屬體育園區總占地面積約102公頃,臺北 文化 體育 園區 坐落 於 臺北市 都心區 與 松山 菸廠 歷史 古蹟 區 共同 形塑 了 文化 體育 園區 的 樣貌 園區 占地 共 18 公頃 其中 巨蛋 所屬 體育 園區 總 占地 面積 約 102 公頃
"第一次到大巨蛋看球有地下停車場搭捷運從五號出口就可以從進場了但是只能到外野為何不能設計直接進場到內野呢蠻奇怪的的設計到內野只能繞個半圈到後面才能進去
吃東西的地方基本上只有樓上的餐廳場內幾乎沒什麼賣吃的還有賣周邊商品的地方也很少希望之後可以改善廁所部分很乾淨座位部分身高180座起來不會拘束
蠻好的就是不用曬太陽看棒球了可以吹冷氣舒服的看比賽也算是一個福音啦","第一 次 到 大 巨蛋 看 球 有 地 下 停車場 搭 捷運 從 五號 出口 就 可以 從 進場 了 但是 只 能 到 外野 為何 不能 設計 直接 進場 到 內野 呢 蠻 奇怪 的 的 設計 到 內野 只 能 繞 個 半 圈 到 後面 才 能 進去 
 吃 東西 的 地方 基本 上 只有 樓上 的 餐廳 場 內 幾乎 沒 什麼 賣 吃 的 還 有 賣 周邊 商品 的 地方 也 很少 希望 之後 可以 改善 廁所 部分 很 乾淨 座位 部分 身高 180 座 起來 不會 拘束 
 蠻 好 的 就是 不用 曬太陽 看 棒球 了 可以 吹 冷氣 舒服 的 看 比賽 也 算是 一 個 福音 啦"
好像座位區會漏水真的不是很好感覺球場內的東西偏貴廁所很優質如果人多的話散場很恐怖球場是用來打球的希望演唱會還是少一點啦畢竟場地好像很容易壞,好像 座位區 會 漏水 真的 不 是 很 好 感覺 球場 內 的 東西 偏 貴 廁所 很 優質 如果 人 多 的話 散場 很 恐怖 球場 是 用來 打球 的 希望 演唱會 還是 少一點 啦 畢竟 場地 好像 很 容易 壞
"四萬名觀眾進場當天二樓冷氣夠涼甚至有點冷
食物建議提早買好開賽後再移動就浪費很多排隊時間散場後等個半小時再進捷運站就很通順剛散場時是蠻可怕","四萬 名 觀眾 進場 當天 二樓 冷氣 夠 涼 甚至 有點 冷 
 食物 建議 提早 買好 開賽 後 再 移動 就 浪費 很多 排隊 時間 散場 後 等 個 半 小時 再 進 捷運站 就 很 通順 剛 散場 時 是 蠻 可怕"
昨天台北下大雨 不用擔心天候因素 而取消比賽 但不知道是空調太冷導致噴水還是大雨導致坐位和室外的電梯都有漏水 問題要好好改善 不然花了這麼多錢 蓋了大巨蛋 稍微可惜 整體都還不錯身為象迷和五迷 帶給周思齊引退賽 謝謝五月天帶來這麼好的小小演唱會,昨天 台北 下 大雨   不用 擔心 天候 因素   而 取消 比賽   但 不 知道 是 空調 太 冷 導致 噴水 還是 大雨 導致 坐位 和 室 外 的 電梯 都 有 漏水   問題 要 好好 改善   不然 花 了 這麼多 錢   蓋 了 大 巨蛋   稍微 可惜   整體 都 還 不錯 身為 象迷 和 五迷   帶給 周思齊 引退賽   謝謝 五月 天 帶來 這麼 好 的 小小 演唱會
"一顆虛有其表的爛蛋ㄟ
1動線設計極差一進去手扶梯只有往下上去只能爬樓梯

2為了賺錢塞滿了位置走道弄得很狹窄擁擠

3硬體設備糟糕透頂音響品質慘不忍睹回音非常大聲音糊成一團我們5個人完全聽不清楚主持人和選手在說什麼甚至連國外歌手來也都自備音響還比大巨蛋的好很多看有多瞎

4子螢幕非常小球員的應援歌詞用肉眼完全看不到需要用手機放大快10倍才能知道寫什麼既然要蓋那麼大硬體設備也應該跟上啊有夠誇張

5座椅吃球問題很嚴重黑白相間部長那顆全壘打的球過去直接消失看不到

6場內的店鋪太少廁所卻多到處都是比例完全不合理

7國外的球場樓層通道都可以站人大巨蛋的不知道為啥就一直趕就坐很久想起來站一下也不行嗎

相比之下新莊棒球場的螢幕和音響設備都好多了
硬體設備問題很嚴重拜託大巨蛋改進","一 顆 虛有其表 的 爛 蛋 ㄟ
1 動線 設計 極 差 一 進去 手扶梯 只有 往 下 上去 只 能 爬 樓梯 

2 為了 賺錢 塞滿 了 位置 走道 弄得 很 狹窄 擁擠 

3 硬體 設備 糟糕 透頂 音響 品質 慘不忍睹 回音 非常 大 聲音 糊成 一 團 我們 5 個 人 完全 聽 不 清楚 主持人 和 選手 在 說 什麼 甚至 連 國外 歌手 來 也 都 自備 音響 還 比 大 巨蛋 的 好 很多 看 有 多 瞎 

4 子螢幕 非常 小 球員 的 應援 歌詞 用 肉眼 完全 看 不 到 需要 用 手機 放大 快 10 倍 才 能 知道 寫 什麼 既然 要 蓋 那麼 大 硬體 設備 也 應該 跟上 啊 有夠 誇張 

5 座椅 吃 球 問題 很 嚴重 黑白 相間 部長 那 顆 全壘打 的 球 過去 直接 消失 看 不 到 

6 場 內 的 店鋪 太少 廁所 卻 多 到處 都 是 比例 完全 不 合理 

7 國外 的 球場 樓層 通道 都 可以 站人 大 巨蛋 的 不 知道 為啥 就 一直 趕 就 坐 很 久 想起來 站 一下 也 不行 嗎 
 
 相比 之下 新莊 棒球場 的 螢幕 和 音響 設備 都 好 多 了 
 硬體 設備 問題 很 嚴重 拜託 大 巨蛋 改進"
